[TRAIN] Step    77/10000 | Loss: 9.8217 | LR: 0.000039 | dt: 1205.21ms | tok/sec:  849.64
[TRAIN] Step    78/10000 | Loss: 9.3070 | LR: 0.000039 | dt: 932.76ms | tok/sec: 1097.81
[TRAIN] Step    79/10000 | Loss: 9.6302 | LR: 0.000039 | dt: 1262.82ms | tok/sec:  810.88
[TRAIN] Step    80/10000 | Loss: 9.4714 | LR: 0.000040 | dt: 1252.82ms | tok/sec:  817.35
[TRAIN] Step    81/10000 | Loss: 9.1983 | LR: 0.000041 | dt: 1001.95ms | tok/sec: 1022.01
[TRAIN] Step    82/10000 | Loss: 9.6150 | LR: 0.000041 | dt: 730.74ms | tok/sec: 1401.33
[TRAIN] Step    83/10000 | Loss: 9.5754 | LR: 0.000041 | dt: 718.57ms | tok/sec: 1425.05
[TRAIN] Step    84/10000 | Loss: 9.2273 | LR: 0.000042 | dt: 718.99ms | tok/sec: 1424.22
[TRAIN] Step    85/10000 | Loss: 9.1110 | LR: 0.000043 | dt: 728.79ms | tok/sec: 1405.06
[TRAIN] Step    86/10000 | Loss: 8.9619 | LR: 0.000043 | dt: 726.78ms | tok/sec: 1408.96
[TRAIN] Step    87/10000 | Loss: 8.9238 | LR: 0.000044 | dt: 734.88ms | tok/sec: 1393.42
[TRAIN] Step    88/10000 | Loss: 8.8743 | LR: 0.000044 | dt: 754.86ms | tok/sec: 1356.55
[TRAIN] Step    89/10000 | Loss: 8.7785 | LR: 0.000044 | dt: 747.94ms | tok/sec: 1369.10
[TRAIN] Step    90/10000 | Loss: 9.0272 | LR: 0.000045 | dt: 752.90ms | tok/sec: 1360.07
[TRAIN] Step    91/10000 | Loss: 9.0428 | LR: 0.000046 | dt: 765.18ms | tok/sec: 1338.24
[TRAIN] Step    92/10000 | Loss: 8.7978 | LR: 0.000046 | dt: 720.69ms | tok/sec: 1420.86
[TRAIN] Step    93/10000 | Loss: 9.0142 | LR: 0.000046 | dt: 713.70ms | tok/sec: 1434.78
[TRAIN] Step    94/10000 | Loss: 8.7932 | LR: 0.000047 | dt: 713.34ms | tok/sec: 1435.50
[TRAIN] Step    95/10000 | Loss: 8.9485 | LR: 0.000048 | dt: 717.28ms | tok/sec: 1427.62
[TRAIN] Step    96/10000 | Loss: 9.0969 | LR: 0.000048 | dt: 715.25ms | tok/sec: 1431.67
[TRAIN] Step    97/10000 | Loss: 9.0174 | LR: 0.000048 | dt: 710.90ms | tok/sec: 1440.42
[TRAIN] Step    98/10000 | Loss: 9.0715 | LR: 0.000049 | dt: 719.02ms | tok/sec: 1424.16
[TRAIN] Step    99/10000 | Loss: 8.9172 | LR: 0.000050 | dt: 713.61ms | tok/sec: 1434.96
[TRAIN] Step   100/10000 | Loss: 8.9357 | LR: 0.000050 | dt: 717.28ms | tok/sec: 1427.61
[TRAIN] Step   101/10000 | Loss: 8.9372 | LR: 0.000051 | dt: 708.92ms | tok/sec: 1444.45
[TRAIN] Step   102/10000 | Loss: 8.9279 | LR: 0.000051 | dt: 715.85ms | tok/sec: 1430.47
[TRAIN] Step   103/10000 | Loss: 8.7140 | LR: 0.000052 | dt: 707.52ms | tok/sec: 1447.31
[TRAIN] Step   104/10000 | Loss: 8.7937 | LR: 0.000052 | dt: 705.97ms | tok/sec: 1450.48
[TRAIN] Step   105/10000 | Loss: 8.7605 | LR: 0.000052 | dt: 709.92ms | tok/sec: 1442.42
[TRAIN] Step   106/10000 | Loss: 8.8390 | LR: 0.000053 | dt: 738.68ms | tok/sec: 1386.27
[TRAIN] Step   107/10000 | Loss: 8.8510 | LR: 0.000053 | dt: 732.50ms | tok/sec: 1397.95
[TRAIN] Step   108/10000 | Loss: 8.6220 | LR: 0.000054 | dt: 736.92ms | tok/sec: 1389.57
[TRAIN] Step   109/10000 | Loss: 8.6360 | LR: 0.000054 | dt: 737.88ms | tok/sec: 1387.75
[TRAIN] Step   110/10000 | Loss: 8.5497 | LR: 0.000055 | dt: 737.04ms | tok/sec: 1389.34
[TRAIN] Step   111/10000 | Loss: 8.7496 | LR: 0.000056 | dt: 714.73ms | tok/sec: 1432.70
[TRAIN] Step   112/10000 | Loss: 8.6320 | LR: 0.000056 | dt: 714.46ms | tok/sec: 1433.25
[TRAIN] Step   113/10000 | Loss: 8.6127 | LR: 0.000057 | dt: 708.16ms | tok/sec: 1445.99
[TRAIN] Step   114/10000 | Loss: 8.7529 | LR: 0.000057 | dt: 709.77ms | tok/sec: 1442.72
[TRAIN] Step   115/10000 | Loss: 8.3686 | LR: 0.000058 | dt: 707.43ms | tok/sec: 1447.48
[TRAIN] Step   116/10000 | Loss: 8.6462 | LR: 0.000058 | dt: 715.31ms | tok/sec: 1431.54
[TRAIN] Step   117/10000 | Loss: 8.4222 | LR: 0.000059 | dt: 707.48ms | tok/sec: 1447.39
[TRAIN] Step   118/10000 | Loss: 7.9785 | LR: 0.000059 | dt: 710.56ms | tok/sec: 1441.13
[TRAIN] Step   119/10000 | Loss: 8.4034 | LR: 0.000060 | dt: 713.14ms | tok/sec: 1435.91
[TRAIN] Step   120/10000 | Loss: 8.3007 | LR: 0.000060 | dt: 708.65ms | tok/sec: 1445.01
[TRAIN] Step   121/10000 | Loss: 8.2038 | LR: 0.000061 | dt: 702.02ms | tok/sec: 1458.65
[TRAIN] Step   122/10000 | Loss: 8.0702 | LR: 0.000061 | dt: 709.95ms | tok/sec: 1442.35
[TRAIN] Step   123/10000 | Loss: 7.5513 | LR: 0.000062 | dt: 708.33ms | tok/sec: 1445.65
[TRAIN] Step   124/10000 | Loss: 8.1539 | LR: 0.000062 | dt: 723.25ms | tok/sec: 1415.83
[TRAIN] Step   125/10000 | Loss: 7.9350 | LR: 0.000063 | dt: 732.83ms | tok/sec: 1397.33
[TRAIN] Step   126/10000 | Loss: 7.4820 | LR: 0.000063 | dt: 736.92ms | tok/sec: 1389.57
[TRAIN] Step   127/10000 | Loss: 7.3879 | LR: 0.000063 | dt: 734.37ms | tok/sec: 1394.38
[TRAIN] Step   128/10000 | Loss: 7.7168 | LR: 0.000064 | dt: 741.03ms | tok/sec: 1381.86
[TRAIN] Step   129/10000 | Loss: 7.8299 | LR: 0.000064 | dt: 711.21ms | tok/sec: 1439.81
[TRAIN] Step   130/10000 | Loss: 7.9488 | LR: 0.000065 | dt: 713.41ms | tok/sec: 1435.37
[TRAIN] Step   131/10000 | Loss: 7.7235 | LR: 0.000066 | dt: 706.62ms | tok/sec: 1449.15
[TRAIN] Step   132/10000 | Loss: 7.9231 | LR: 0.000066 | dt: 718.10ms | tok/sec: 1425.99
[TRAIN] Step   133/10000 | Loss: 8.0359 | LR: 0.000067 | dt: 704.79ms | tok/sec: 1452.91
[TRAIN] Step   134/10000 | Loss: 8.0497 | LR: 0.000067 | dt: 707.87ms | tok/sec: 1446.58
[TRAIN] Step   135/10000 | Loss: 8.0209 | LR: 0.000068 | dt: 706.93ms | tok/sec: 1448.51
[TRAIN] Step   136/10000 | Loss: 8.0517 | LR: 0.000068 | dt: 706.55ms | tok/sec: 1449.29
[TRAIN] Step   137/10000 | Loss: 7.9015 | LR: 0.000069 | dt: 711.02ms | tok/sec: 1440.19
[TRAIN] Step   138/10000 | Loss: 7.9831 | LR: 0.000069 | dt: 707.30ms | tok/sec: 1447.75
[TRAIN] Step   139/10000 | Loss: 7.8154 | LR: 0.000070 | dt: 706.02ms | tok/sec: 1450.38
[TRAIN] Step   140/10000 | Loss: 7.5606 | LR: 0.000070 | dt: 708.57ms | tok/sec: 1445.16
[TRAIN] Step   141/10000 | Loss: 7.6842 | LR: 0.000071 | dt: 706.02ms | tok/sec: 1450.38
[TRAIN] Step   142/10000 | Loss: 7.7445 | LR: 0.000071 | dt: 716.86ms | tok/sec: 1428.46
[TRAIN] Step   143/10000 | Loss: 7.5551 | LR: 0.000072 | dt: 744.86ms | tok/sec: 1374.76
[TRAIN] Step   144/10000 | Loss: 7.5434 | LR: 0.000072 | dt: 743.07ms | tok/sec: 1378.06
[TRAIN] Step   145/10000 | Loss: 7.6203 | LR: 0.000073 | dt: 727.69ms | tok/sec: 1407.18
[TRAIN] Step   146/10000 | Loss: 7.4765 | LR: 0.000073 | dt: 753.99ms | tok/sec: 1358.11
[TRAIN] Step   147/10000 | Loss: 7.0504 | LR: 0.000073 | dt: 709.72ms | tok/sec: 1442.83
[TRAIN] Step   148/10000 | Loss: 7.3780 | LR: 0.000074 | dt: 704.26ms | tok/sec: 1454.00
[TRAIN] Step   149/10000 | Loss: 7.3516 | LR: 0.000074 | dt: 706.82ms | tok/sec: 1448.74
[TRAIN] Step   150/10000 | Loss: 7.5024 | LR: 0.000075 | dt: 705.39ms | tok/sec: 1451.67
[TRAIN] Step   151/10000 | Loss: 7.1592 | LR: 0.000075 | dt: 704.94ms | tok/sec: 1452.60
[TRAIN] Step   152/10000 | Loss: 7.3536 | LR: 0.000076 | dt: 704.31ms | tok/sec: 1453.90
[TRAIN] Step   153/10000 | Loss: 7.5293 | LR: 0.000077 | dt: 708.45ms | tok/sec: 1445.41
[TRAIN] Step   154/10000 | Loss: 7.4921 | LR: 0.000077 | dt: 711.21ms | tok/sec: 1439.79
[TRAIN] Step   155/10000 | Loss: 7.2849 | LR: 0.000077 | dt: 708.74ms | tok/sec: 1444.82
[TRAIN] Step   156/10000 | Loss: 7.2864 | LR: 0.000078 | dt: 708.55ms | tok/sec: 1445.21
[TRAIN] Step   157/10000 | Loss: 7.2641 | LR: 0.000078 | dt: 711.28ms | tok/sec: 1439.67
[TRAIN] Step   158/10000 | Loss: 6.8961 | LR: 0.000079 | dt: 710.91ms | tok/sec: 1440.42
[TRAIN] Step   159/10000 | Loss: 6.9782 | LR: 0.000080 | dt: 710.51ms | tok/sec: 1441.22
[TRAIN] Step   160/10000 | Loss: 7.0494 | LR: 0.000080 | dt: 711.47ms | tok/sec: 1439.28
[TRAIN] Step   161/10000 | Loss: 6.6360 | LR: 0.000081 | dt: 734.91ms | tok/sec: 1393.37
[TRAIN] Step   162/10000 | Loss: 7.2532 | LR: 0.000081 | dt: 742.09ms | tok/sec: 1379.89
[TRAIN] Step   163/10000 | Loss: 6.7984 | LR: 0.000082 | dt: 733.08ms | tok/sec: 1396.85
[TRAIN] Step   164/10000 | Loss: 7.0250 | LR: 0.000082 | dt: 757.79ms | tok/sec: 1351.31
[TRAIN] Step   165/10000 | Loss: 6.8599 | LR: 0.000082 | dt: 730.05ms | tok/sec: 1402.64
[TRAIN] Step   166/10000 | Loss: 7.1221 | LR: 0.000083 | dt: 719.42ms | tok/sec: 1423.36
[TRAIN] Step   167/10000 | Loss: 7.1490 | LR: 0.000084 | dt: 709.07ms | tok/sec: 1444.14
[TRAIN] Step   168/10000 | Loss: 7.0496 | LR: 0.000084 | dt: 707.82ms | tok/sec: 1446.70
[TRAIN] Step   169/10000 | Loss: 7.0001 | LR: 0.000085 | dt: 717.29ms | tok/sec: 1427.60
[TRAIN] Step   170/10000 | Loss: 6.8183 | LR: 0.000085 | dt: 708.83ms | tok/sec: 1444.64
[TRAIN] Step   171/10000 | Loss: 6.8824 | LR: 0.000086 | dt: 708.37ms | tok/sec: 1445.58
